Health Center Name,Site Address,Site Web Address,Site Telephone Number,Organization Email Address,,Site City,Site State,Site Zip Code,Latitude,Longitude
MARILLAC COMMUNITY HEALTH CENTERS,3201 S Carrollton Ave,,504-207-3060,,,New Orleans,LA,70118-4307,-90.11396282,29.96187565
North County Health Project Incorporated,1295 Carlsbad Village Dr STE 100,,760-720-7767,beatriz.silvis@nchs-health.org,,Carlsbad,CA,92008-1950,-117.3387257,33.16549042
Healthpoint,2704 I St NE,www.healthpointchc.org,253-520-9350,,,Auburn,WA,98002-2411,-122.2194577,47.33099237
OZARKS RESOURCE GROUP,203 E Broadway St,,417-328-6334,amanda.dahl@ozarkschc.com,,Bolivar,MO,65613-1623,-93.41084861,37.61430861
"Hopewell Health Centers, Inc.",1049 Western Ave,http://www.hopewellhealth.org,740-773-1006,,,Chillicothe,OH,45601-1104,-83.0127127,39.33298438
Massachusetts League Of Community Health Centers Inc,1315 Main St,http://www.genhealth.org,860-450-7471,ashepherd@massleague.org,,Willimantic,CT,06226-1931,-72.2282539,41.71500738
Meridian Health Services Corp.,110 N Tillotson Ave,www.meridianhs.org,765-288-8770,,,Muncie,IN,47304-3987,-85.4191405,40.19419635
"1st Choice Healthcare, Inc.",1300 Creason Rd,www.1stchoice-ar.org,870-857-3399,dfinley@1stchoice-ar.org,,Corning,AR,72422-1716,-90.5890185,36.41888838
COMMUNITY HEALTH CENTERS OF AMERICA,5200 Pirrone Ct STE A,,209-761-0134,gurdeep.singh@chcahealth.org,,Salida,CA,95368-9094,-121.0906119,37.71674374
BORREGO COMMUNITY HEALTH FOUNDATION,41865 Boardwalk STE 201 STE 213,,760-423-5055 x4955,,,Palm Desert,CA,92211-9032,-116.3549814,33.74624727
"La Clinica Del Pueblo, Inc.",2970 Belcrest Center Dr STE 301,www.lcdp.org,240-714-5247,,,Hyattsville,MD,20782-1987,-76.95550296,38.96616678
"COMMUNITY MEDICAL CENTERS, INC.",2650 Wigwam Dr,,209-940-5600,cnoguera@communitymedicalcenters.org,,Stockton,CA,95205-2872,-121.2570775,37.98651462
"Community Care of West Virginia, Inc.",236 Church St,www.primcaresys.org,304-587-4375,heather.powell@ccwv.org,,Clay,WV,25043-9412,-81.08120185,38.46021742
"Big Springs Medical Association, Inc",1407 N Westwood Blvd,www.mohigh.org,573-778-3042,,,Poplar Bluff,MO,63901-3315,-90.41708725,36.7702397
"RIVER HILLS COMMUNITY HEALTH CENTER, INC.",605 E Broadway Ave,,641-472-2059,,,Fairfield,IA,52556-2900,-91.95530543,41.00769652
"Jane Pauley Community Health Center, Inc.",8931 E 30th St,www.janepauleychc.com,844-695-7242,mhackett@janepauleychc.org,,Indianapolis,IN,46219-1501,-86.01077479,39.81127606
"Alcona Citizens For Health, Inc.",722 S Main St,,231-627-7118,,,Cheboygan,MI,49721-2220,-84.4827596,45.63433208
One Community Health,1040 Webber St,www.onecommunityhealth.org,541-296-4610,aferiante@onecommunityhealth.org,,The Dalles,OR,97058-3749,-121.2069939,45.60649253
FAMILY HEALTH CENTERS OF SAN DIEGO INC,823 Gateway Center Way,www.fhcsd.org,619-515-2300,,,San Diego,CA,92102-4541,-117.113495,32.71503752
NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,540 E 13th St,,212-387-7400,,,New York,NY,10009-3519,-73.97918453,40.72891689
"VALLEY HEALTH TEAM, INC.",920 N Alta Ave,,559-693-2462,jchappell@vht.org,,Dinuba,CA,93618-3003,-119.3950352,36.55339504
Interior Community Health Center Inc,1606 23rd Ave,https://www.interiorcommunityhealth.org/,907-455-4567,cheryl.kilgore@inhc.org,,Fairbanks,AK,99701-6407,-147.7420066,64.8262665
"Southern Dominion Health Systems, Inc.",583 Tomlinson Rd,www.sdhsinc.com,434-696-1644,,,Victoria,VA,23974-2628,-78.20670451,36.98777821
RIVER VALLEY PRIMARY CARE SERVICES,920 S Highway 45,,479-255-6095,jerryw@rvpcs.org,,Bonanza,AR,72916-3420,-94.41928721,35.2304269
"NORTHEAST MISSOURI HEALTH COUNCIL, INC.",209 N Missouri St,www.nmhcinc.org,660-627-5757,elymer@nmhcinc.org,,Macon,MO,63552-1745,-92.46530962,39.73968065
"Lakeshore Community Health Care, Inc",2530 Weeden Creek Rd Rm 101A,,920-459-3573,,,Sheboygan,WI,53081-7499,-87.74115944,43.70223594
"SAN JOAQUIN, COUNTY OF",500 W Hospital Rd,,209-468-6820,ffadoo@sjhealth.org,,French Camp,CA,95231-9693,-121.2821174,37.88646215
"Hopewell Health Centers, Inc.",14455 Kimberley Rd,,740-753-9656,,,Nelsonville,OH,45764-9430,-82.22819447,39.4167351
"Aaron E. Henry Community Health Services Center, Inc.",510 Highway 322,www.aehcommunityhealth.org,662-645-6008,dadavis@aehchc.org,,Clarksdale,MS,38614-4717,-90.59573626,34.18949408
"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO, INC.",3305 Buckman Springs Rd,,619-478-5254,,,Pine Valley,CA,91962-4005,-116.4936825,32.73419096
"HealthNet, Inc.",2855 N Keystone Ave STE 100,www.indyhealthnet.org,317-957-2300,,,Indianapolis,IN,46218-2790,-86.12153267,39.80823678
"ODA PRIMARY HEALTH CARE CENTER, INC.",18 Heyward St,https://odahealth.org/locations/heyward-street.html,718-260-4600,,,Brooklyn,NY,11249-9210,-73.95863939,40.69991856
"FETTER HEALTH CARE NETWORK, INC.",2100 Charlie Hall Blvd,fcfetter.com,843-852-4100,natasha_chatman@fetterhealthcare.org,,Charleston,SC,29414-5832,-80.04599515,32.81431056
WATTS HEALTHCARE CORP,10300 Compton Ave,www.wattshealth.org,323-564-4331,michael.johnson@wattshealth.org,,Los Angeles,CA,90002-3628,-118.246193,33.94275344
"Whitman-Walker Clinic, Inc.",2301 Martin Luther King Jr Ave SE,www.whitman-walker.org,202-745-7000,,,Washington,DC,20020-5813,-76.99129829,38.86351445
Piedmont Access to Health Services Inc,705 Main St,www.pathsinc.org,434-791-4122,mmendenhall@pathsinc.org,,Danville,VA,24541-1803,-79.39540146,36.58600555
PUBLIC HEALTH MANAGEMENT CORP,1500 Market St,,215-985-2500,,,Philadelphia,PA,19102,-75.16602699,39.952292
Person Family Medical Center,1076 Nc Highway 86 N,,336-694-5462,,,Yanceyville,NC,27379-8645,-79.33804276,36.40774774
Presbyterian Medical Services,1775 Hopewell St,,505-471-5006,,,Santa Fe,NM,87505-3896,-105.9688871,35.66200734
"Providence Community Health Centers, Inc., The",335R Prairie Ave,,401-444-0430,,,Providence,RI,02905-2426,-71.41467562,41.80517002
"THUNDER BAY COMMUNITY HEALTH SERVICE, INCORPORATED",6800 W Wilson Rd,,231-238-6868,,,Indian River,MI,49749-9447,-84.62516143,45.39686537
PUBLIC HEALTH MANAGEMENT CORP,3939 Warren St,,215-382-7523,,,Philadelphia,PA,19104-4642,-75.20157027,39.96189455
Penobscot Community Health Center,335 Stillwater Ave,,207-947-1111,,,Bangor,ME,04401-3944,-68.75964668,44.82224541
FAMILY HEALTH SERVICES OF ERIE COUNTY,318 Columbus Ave RM 129,www.familyhs.org,419-984-1042,,,Sandusky,OH,44870-2616,-82.71040109,41.45403496
North Penn Comprehensive Health Services,416 S Main St,,570-622-2002,,,Mansfield,PA,16933-1510,-77.07524339,41.79538918
"ALIVIO MEDICAL CENTER, INC",4255 W 63rd St,www.aliviomedicalcenter.org,773-254-1400,,,Chicago,IL,60629-5041,-87.72975536,41.77855693
"Rural Health Group, Inc.",114 Market St,www.rhgnc.org,252-445-2332,,,Enfield,NC,27823-1423,-77.66605198,36.17961061
AltaMed Health Services Corporation,6601 Rugby Ave STE 300,www.altamed.org,323-582-1177,,,Huntington Park,CA,90255-4046,-118.2265575,33.979112
SIERRA FAMILY MEDICAL CLINIC INC,15301 Tyler Foote Rd,hwww.sierraclinic.org,530-292-3478,,,Nevada City,CA,95959-9318,-121.036943,39.36627537
"Community Health Center, Incorporated",220 Coe Ave,www.chc1.com,203-235-7963,mark@chc1.com,,Meriden,CT,06451-3812,-72.82572904,41.53498017
"Blue Ridge Community Health Services, Inc.",970 Ecusta Rd,,828-884-9567,,,Brevard,NC,28712-7582,-82.70394367,35.258462
LAWNDALE CHRISTIAN HEALTH CENTER,3860 W Ogden Ave,www.lawndale.org,773-843-3000,,,Chicago,IL,60623-2460,-87.72194904,41.85224463
"Mosaic Health, Inc.",1651 Oneida St,www.rpcn.org,315-793-7600,,,Utica,NY,13501-4866,-75.24857942,43.0879532
AHTNA' T'AENE NENE',Aurora Dr,crnative.org,907-822-5268,kdorsey@crnative.org,,Glennallen,AK,99588,-145.5303695,62.10805533
"Central Mississippi Civic Improvement Association, Inc.",14050 Highway 18,,601-364-5142,,,Raymond,MS,39154-9795,-90.43601699,32.24491761
Peninsula Community Health Services,2508 Wheaton Way,www.pchsweb.org,360-377-3776,kjennings@pchsweb.org,,Bremerton,WA,98310-3303,-122.626831,47.58179309
EL CENTRO DEL BARRIO,5750 Medina Base Rd,www.centromedsa.com,210-922-7000,,,San Antonio,TX,78242-9700,-98.61032474,29.36518929
"Gaston Family Health Services, Inc.",497 Farmington Rd,www.kintegra.org,336-998-5555,,,Mocksville,NC,27028-7639,-80.53331498,35.96555206
"Asian American Health Coalition Of the Greater Houston Area, Inc.",3000 Aldine Mail Route Rd,www.hopechc.org,713-773-0803,martinez_gnps@yahoo.com,,Houston,TX,77039-5612,-95.34320004,29.90237252
HARVARD STREET NEIGHBORHOOD HEALTH CENTER INC,895 Blue Hill Ave,www.harvardstreet.org,617-825-3400,,,Dorchester,MA,02124-2902,-71.08857106,42.29412968
Family Healthcare Network,2210 E Illinois Ave STE 206,fhcn.org,877-960-3426,,,Fresno,CA,93701-2184,-119.7845395,36.74500845
"HopeHealth, Inc.",1857 Joe S Jeffords Hwy,,803-535-2272,,,Orangeburg,SC,29115-7473,-80.84490594,33.47325358
"CONTRA COSTA , COUNTY OF",2047 Arnold Industrial Way,,925-313-6000,christine.ang@cchealth.org,,Concord,CA,94520-5342,-122.0376971,38.00660055
COMMUNITY HEALTH CARE,1708 E 44th St,,253-471-4553,,,Tacoma,WA,98404-4611,-122.4053156,47.21732873
"Franklin Primary Health Center, Inc.",316 S Main St,www.franklinprimary.org,251-578-2507,,,Evergreen,AL,36401-3325,-86.94305192,31.43122325
"HealthNet, Inc.",1801 Senate Blvd STE 310,,317-957-2229,,,Indianapolis,IN,46202-1196,-86.16472294,39.79141422
"Regenesis Health Care, Inc",301 Crescent Ave,www.myrhc.org,864-582-2411,stebalt@myrhc.org,,Spartanburg,SC,29306-4143,-81.95142746,34.92955012
"Community Health Center, Incorporated",130 Shennecossett Rd,,860-446-9380,mark@chc1.com,,Groton,CT,06340-5117,-72.07178892,41.33691408
SCHNECTADY FAMILY HEALTH,600 Franklin St,,518-370-1441,gwilhelm@hhchc.org,,Schenectady,NY,12305-2101,-73.93754742,42.81256703
Martinsville Henry County Coalition for Health and Wellness,22 E Church St Ste 311,www.healthycommunitymhc.org,276-403-5099,,,Martinsville,VA,24112-6208,-79.87231843,36.69073144
ALBUQUERQUE HEALTH CARE FOR HOMELESS,1217 1st St NW,www.abqhch.org,505-766-5197,,,Albuquerque,NM,87102-1529,-106.645971,35.09508638
Health Care Coalition of Lafayette County,819 S Business Highway 13,,660-259-2440,deana.loyd@hccnetwork.org,,Lexington,MO,64067-1515,-93.87813463,39.16840177
"HopeHealth, Inc.",210 E Market St,,843-346-3730,,,Timmonsville,SC,29161-1812,-79.9389797,34.13429782
FAMILY HEALTH SERVICES,61 E Highway 24,,208-886-2381,satkinson@fhsid.org,,Shoshone,ID,83352,-114.4013541,42.92653358
HEALTHCARE CONNECTION INC,43 E Main St,,513-248-0421,,,Amelia,OH,45102-1993,-84.21476445,39.02603272
"HealthPoint Family Care, Inc.",515 Elm St,www.healthpointfc.org,859-655-6100,,,Ludlow,KY,41016-1304,-84.55360993,39.09182001
"Council of Athabascan Tribal Governments, Inc.",General Delivery,www.catg.org,907-628-6228,mlpeter@catg.org,,Beaver,AK,99724-9999,-147.39808,66.35990001
OCEAN HEALTH INITIATIVES INC,625 Clifton Ave,,732-719-9015,gfleischer@ohinj.org,,Lakewood,NJ,08701-2808,-74.21542126,40.09647304
"HARBOR HOMES, INC.",71 Amherst St,http://harborhomes.org/harbor-care-health-and-wellness-center/,603-821-7788,m.lavalley@nhpartnership.org,,Nashua,NH,03064-2530,-71.47568328,42.76832012
"Chiricahua Community Health Centers, Inc.",1111 N F Ave,,520-364-1429,,,Douglas,AZ,85607-1918,-109.5529125,31.346011
KING COUNTY,2028 3rd Ave,,206-521-1231,,,Seattle,WA,98121-2413,-122.3418367,47.61298453
"Sixteenth Street Community Health Centers, Inc.",920 S 9th St Rm 140,https://sschc.org/locations/,414-897-5178,,,Milwaukee,WI,53204-1361,-87.92245347,43.02165943
LEGACY COMMUNITY HEALTH SERVICES INC,12751 Hillcroft St,,832-548-5000,calexander@legacycommunityhealth.org,,Houston,TX,77085-1361,-95.49302575,29.63367574
Health Care District of Palm Beach County,1150 45th St,https://www.hcdpbc.org/for-patients/primary-care-clinics,561-642-1000,,,West Palm Beach,FL,33407-2361,-80.06924403,26.75311246
"Valley Health Systems, Inc.",1319 Hal Greer Blvd,,304-529-6060,,,Huntington,WV,25701-3803,-82.42846714,38.41012314
FAMILY HEALTH SERVICES,794 Eastland Dr,www.fhsid.org,208-734-3312,satkinson@fhsid.org,,Twin Falls,ID,83301-6856,-114.4405595,42.55791987
BORREGO COMMUNITY HEALTH FOUNDATION,950 Civic Center Dr Ste A,,760-439-4839,,,Vista,CA,92083-5208,-117.2348437,33.19306533
HOUSTON COMMUNITY HEALTH CENTERS INC,424 Hahlo St,www.denverharborclinic.org,713-674-3326,koshaughnessy@vecinohealthcenters.org,,Houston,TX,77020-3022,-95.30948743,29.78064201
"Grace Community Health Center, Inc.",1019 Cumberland Falls Hwy STE B201,,606-526-9005,michael.stanley@gracehealthky.org,,Corbin,KY,40701-2793,-84.10516218,36.92930362
"JWCH Institute, Inc.",500 S San Pedro St,www.jwchinstitute.org,562-867-7999,,,Los Angeles,CA,90013-2102,-118.244026,34.04395319
"ALBANY AREA PRIMARY HEALTH CARE, INC",11949 US Highway 41,,229-888-6559,heather.dutton@aaphc.org,,Pinehurst,GA,31070-7467,-83.76779996,32.18408498
SOUTHEAST COMMUNITY MENTAL HEALTH CENTER INC,344 W High Ave,,330-339-7850,leeb@southeastinc.com,,New Philadelphia,OH,44663-2152,-81.45169119,40.4906084
EL CENTRO FAMILY HEALTH,555 Wagon Mound Hwy,www.ecfh.org,505-485-2583,,,Roy,NM,87743,-104.2072705,35.94106194
ROANE COUNTY FAMILY HEALTH CARE,146 Williams Dr,www.rcfhc.org,304-927-2241,rgaughan@rcfhc.org,,Spencer,WV,25276-1826,-81.35192106,38.79717135
"Foothills Community Health Care, Inc.",110 Liberty Dr,www.myfchc.org,864-722-0283 x201,,,Clemson,SC,29631-3157,-82.80981197,34.68742255
JESSIE TRICE COMMUNITY,5160 NW 31st Ave,www.jtchs.org,305-633-1424,jjlawrence@jtchc.org,,Miami,FL,33142-3439,-80.24673754,25.82122898
WAYNE MEMORIAL COMMUNITY HEALTH CENTERS,27B Woodlands Dr,,570-488-9550,,,Waymart,PA,18472-9366,-75.40079164,41.58237842
Neighborcare Health,13555 Aurora Ave N,,206-461-6935,,,Seattle,WA,98133-7511,-122.3450537,47.72852517
"Aunt Martha's Health And Wellness, Inc.",76 S Lasalle St,www.auntmarthas.org,877-692-8686,,,Aurora,IL,60505-3375,-88.31359071,41.75485446
"UNITED METHODIST WESTERN KANSAS MEXICAN-AMERICAN MINISTRIES, INC.",113A S Main St,,620-271-7400,mdarnell@genesisfh.org,,Ulysses,KS,67880-2519,-101.3581354,37.5806092
"Clinicas De Salud Del Pueblo, Inc.",8027 Highway 111,www.innercare.org,760-359-0110,,,Niland,CA,92257,-115.5191284,33.23612311
"San Mateo, County Of",222 W 39th Ave,,650-573-2561,ipasma@smcgov.org,,San Mateo,CA,94403-4364,-122.298961,37.53031554
Fish River Rural Health,12 Bolduc Ave,www.frrh.org,207-834-3971,,,Fort Kent,ME,04743-1602,-68.58968541,47.26469089
RURAL HEALTH CARE INC,200 Commercial Ave SE,WWW.RURALHC.NET,605-852-2238,,,Highmore,SD,57345-2148,-99.44012251,44.51917201
"IBERIA COMPRHESIVE COM HEALTH CNTR, INC.",1002 12th St,www.icchc.org,337-000-0000,accounting@icchc.org,,Lafayette,LA,70501-6224,-92.00228399,30.22706536
"FETTER HEALTH CARE NETWORK, INC.",221 Mccune Branch Ln,,843-722-4112,natasha_chatman@fetterhealthcare.org,,Lodge,SC,29082-9169,-80.96194373,33.0584522
"Centerville Clinics, Incorporated",208 S Arch St,www.centervilleclinics.com,724-626-2630,,,Connellsville,PA,15425-3536,-79.59099678,40.01585351
Betances Health Center,280 Henry St,www.betances.org,212-227-8408 x101,jtsien@betances.org,,New York,NY,10002-5808,-73.98367538,40.71383852
"Comprehensive Community Health Centers, Inc.",5059 York Blvd,www.cchccenters.org,323-344-4144,davidlo@cchccenters.org,,Los Angeles,CA,90042-1713,-118.2049071,34.12112424
"Wirt County Health Service Association, Inc",2101 Dudley Ave,,304-861-4150,cpennybacker@wchsa.com,,Parkersburg,WV,26101-3462,-81.54478002,39.27865699
"Coastal Family Health Center, Inc.",12424 Highway 57,,228-826-4701,,,Vancleave,MS,39565-8608,-88.69056948,30.52167916
HUDSON HEADWATERS HEALTH NETWORK,1299 Saratoga Rd,,518-761-6961,,,Gansevoort,NY,12831-1560,-73.68314116,43.24187052
Swope Health Services,4835 State Ave,,816-923-5800,,,Kansas City,KS,66102-1747,-94.69036,39.11656247
"Boston Health Care For The Homeless Program, Inc., The",85 East Newton St,,617-414-8376,ssullivan@bhchp.org,,Boston,MA,02118-3553,-71.07097082,42.33640499
BENTON COUNTY,"100 Mullins Dr, Ste A1",http://bentonlinnhealthcenters.org/,541-451-6920,,,Lebanon,OR,97355-2868,-122.90927,44.54971253
"ALBANY AREA PRIMARY HEALTH CARE, INC",1412 W Oakridge Dr,www.aaphc.org,229-435-2424,heather.dutton@aaphc.org,,Albany,GA,31707-5307,-84.18970901,31.54909253
"Borinquen Health Care Center, Inc.",2450 SW 1st St,www.borinquenhealth.org,305-649-9800,pvelez@borinquenhealth.org,,Miami,FL,33135-1402,-80.23698469,25.77138913
Mountain Comprehensive Health Corporation,464 Ky Highway 699,www.mchcky.com,606-476-2593,,,Cornettsville,KY,41731-8749,-83.08811543,37.11950736
NORTH CENTRAL TEXAS COMMUNITY HEALTH CAR,1000 Juarez St BLDG A,www.chcwf.com,940-766-6306,,,Wichita Falls,TX,76301-6905,-98.47303956,33.91178839
ST JAMES HEALTH & WELLNESS INC,422 N Fraser St,www.stjamessanteefhc.com,843-436-1333,kkeller@stjamessanteefhc.com,,Georgetown,SC,29440-3260,-79.28772997,33.37624537
PROJECT VIDA HEALTH CENTER,11700 School Ln,,915-533-7057,,,El Paso,TX,79936-4418,-106.284743,31.76276246
"Southwest Community Health Center, Inc.",1124 Iranistan Ave,www.swchc.org,203-336-4745,,,Bridgeport,CT,06605-1121,-73.20143863,41.17601276
WHITE BIRD CLINIC,1995 Amazon Pkwy,,541-342-7728,,,Eugene,OR,97405-2911,-123.0896367,44.03794522
Spring Branch Community Health Center,15555 Kuykendahl Rd,www.sbchc.net,713-462-6565,,,Houston,TX,77090-3651,-95.46141622,30.00425166
"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO, INC.",780 Bay Blvd STE 200,,619-662-4100,,,Chula Vista,CA,91910-5260,-117.0927455,32.61959006
Community Action Corporation Of South Texas,301 S Hillside Dr STE 6,www.cacost.org,361-362-0307,,,Beeville,TX,78102-5324,-97.73243203,28.40721915
"Family Health Center of Worcester, Inc.",140 Apricot St,http://www.fhcw.org,508-757-5350,,,Worcester,MA,01603-1225,-71.86283419,42.24417601
"COMMUNITY HEALTH SYSTEMS, INC.",904 Harrison St,,304-252-8324,,,Princeton,WV,24740-3011,-81.09544371,37.36866065
Southlake Community Mental Health Center Inc,8555 Taft St,www.regionalhealthclinic.org,219-937-3300,,,Merrillville,IN,46410-6123,-87.36492246,41.463369
Indiana Health Centers Inc,925 S Nebraska St,None,765-664-7492,cspringer@ihcinc.org,,Marion,IN,46953-1874,-85.66333786,40.5526199
HEALTH CLINIC ATCHISON COMMUNITY,605 Commercial St,,879-879-4879 x74879,jsmith@achc-ks.org,,Atchison,KS,66002-2404,-95.12080996,39.56192752
CHOTA COMMUNITY HEALTH SERVICES,4798 New Highway 68,www.chotahealth.org,423-442-2622,lharris@chotahealth.org,,Madisonville,TN,37354-1287,-84.36955431,35.50629916
"Lynn Community Health, Inc.",33 N Common St,,781-268-3007,mmeiklejohn@lchcnet.org,,Lynn,MA,01902-4311,-70.95503393,42.46471336
JESSIE TRICE COMMUNITY,5241 NW 195th Dr,www.jtchs.org,305-628-5776,jjlawrence@jtchc.org,,Miami Gardens,FL,33055-6186,-80.28745925,25.94922466
"Change, Incorporated",3158 West St,www.changeinc.org,304-797-7733,,,Weirton,WV,26062-4637,-80.58965578,40.40563732
"LAKES COMMUNITY HEALTH CENTER, INC., THE",135 8th Ave,,715-263-2117,,,Clear Lake,WI,54005-8522,-92.26865869,45.24662784
VISTA COMMUNITY CLINIC,201 S Harbor Blvd,www.vcc.org,562-264-6000,,,La Habra,CA,90631-5654,-117.933129,33.93030008
Atlanticare Health Services Inc,929 Atlantic Ave,www.atlanticare.org,609-344-5714,,,Atlantic City,NJ,08401-7401,-74.42289717,39.36427407
"WAIANAE DISTRICT COMPREHENSIVE HEALTH AND HOSPITAL BOARD, INCORPORATED",86-120 Farrington Hwy STE C301,www.wcchc.com,808-696-7021,,,Waianae,HI,96792-3072,-158.184942,21.43594908
LAWNDALE CHRISTIAN HEALTH CENTER,10 S Kedzie Ave,www.lawndale.org,872-588-3000,,,Chicago,IL,60612-2706,-87.70612216,41.88044542
ISABELLA CITIZENS FOR HEALTH,113 E Saginaw St Rm Ich,,989-824-2712,rachel.blizzard@isabellahealth.org,,Saint Louis,MI,48880-1755,-84.606921,43.40926364
Sea-Mar Community Health Center,5411 E Mill Plain Blvd,,360-831-0904,dustingreer@seamarchc.org,,Vancouver,WA,98661-7057,-122.6151329,45.62761656
"RIVER HILLS COMMUNITY HEALTH CENTER, INC.",116 W Main St,http://www.riverhillshealth.org,641-954-9971,,,Ottumwa,IA,52501-2540,-92.41324577,41.01825512
"North Florida Medical Centers, Inc.",3721 N Monroe St,,850-562-0281,,,Tallahassee,FL,32303-2740,-84.3275795,30.49947474
"MULTI-CULTURAL HEALTH EVALUATION DELIVERY SYSTEM, INC.",2928 Peach St,www.mheds.org,814-453-6229,pstubber@mheds.org,,Erie,PA,16508-1843,-80.07641291,42.10707637
Rural Health Corporation of Northeastern Pennsylvania,75 Pineapple St,N/A,570-704-3454,,,Nuremberg,PA,18241,-76.16905634,40.94081792
"Centerville Clinics, Incorporated",563 Lincoln Ave,,724-632-6801 x2258,,,Bentleyville,PA,15314-2060,-80.02853774,40.12729896
"Mercy Health Services, Inc.",500 Tiger Blvd,,931-359-1265,cindys@mercytn.org,,Lewisburg,TN,37091-2036,-86.81479259,35.4595782
"THUNDER BAY COMMUNITY HEALTH SERVICE, INCORPORATED",905 W Lincoln Ave,,231-597-9585,,,Cheboygan,MI,49721-1858,-84.49600209,45.63414336
Ozark Tri-County Health Care Consortium,1504 N Business 49 Ste A,www.accessfamilycare.org,417-451-4447,,,Neosho,MO,64850-6883,-94.40549958,36.88017174
CIRCLE THE CITY,3522 N 3rd Ave,www.circlethecity.org,602-776-7676,astewart@circlethecity.org,,Phoenix,AZ,85013-3903,-112.0782364,33.48882401
"THE BREVARD HEALTH ALLIANCE, INC.",2550 Grant St STE 137,brevardhealth.org,321-334-6940,,,Melbourne,FL,32901-6006,-80.60885446,28.07038592
"Gaston Family Health Services, Inc.",1234 3rd St NE,www.kintegra.org,828-322-5860,,,Hickory,NC,28601-2605,-81.33101944,35.75168248
Moses Lake Community Health Center,204 12th Ave SW,www.mlchc.org,509-754-6199,joecreek@rmtw.com,,Ephrata,WA,98823-2197,-119.5604726,47.30936811
"Coastal Family Health Center, Inc.",39455 Highway 63 N,,601-989-3105,,,Richton,MS,39476-2604,-88.763194,31.3472068
HEALTH PARTNERS OF WESTERN OHIO,2400 Collingwood Blvd,www.hpwohio.org,419-221-3072,,,Toledo,OH,43620-1152,-83.55517287,41.66909598
Lone Star Circle Of Care,12201 Renfert Way STE 105,www.lonestarcares.org,877-800-5722,,,Austin,TX,78758-5362,-97.70501642,30.41009289
ODYSSEY HOUSE LOUISIANA INC,1125 N Tonti St,www.ohlcommunityclinic.org,504-383-8559,atucker@ohlin.org,,New Orleans,LA,70119-3549,-90.07622682,29.97204026
Miami Beach Community Health Center Inc.,11645 Biscayne Blvd Ste 400,miamibeachhealth.org,305-538-8835,,,Miami,FL,33181-3139,-80.16571597,25.88316286
"Camden-On-Gauley Medical Center, Inc.",318 River Dr BLDG,,304-226-5725,,,Webster Springs,WV,26288-1178,-80.41171116,38.47352121
EQUITAS HEALTH INC,2805 Gilbert Ave,www.equitashealth.com,513-815-4475,kellywesp@arcohio.org,,Cincinnati,OH,45206-1210,-84.48855823,39.1299381
"Mission City Community Network, Inc.",359 N Fairfax Ave,,818-895-3100,magdalenaa@mccn.org,,Los Angeles,CA,90036-2179,-118.3615074,34.07778402
BENTON COUNTY,1318 NW 9th St STE 110A,,541-766-6777,,,Corvallis,OR,97330-4565,-123.2606548,44.57843245
"La Clinica Del Valle Family Health Care Center, Inc.",1001 Manzanita St,www.laclinicahealth.org,541-535-6239,,,Central Point,OR,97502-3064,-122.9102054,42.37897227
LAWNDALE CHRISTIAN HEALTH CENTER,4207 W Carroll Ave,www.lawndale.org,872-588-3000,,,Chicago,IL,60624-1704,-87.73111993,41.88689249
"Gifford Health Care, Inc.",66 Bent Hill Rd Rm 118,,802-728-9373,hshaw@giffordhealthcare.org,,Braintree,VT,05060-8810,-72.72321769,43.95559493
Sadler Health Center Corporation,1910 W Trindle Rd,www.sadlerhealth.org,717-218-6670,,,Carlisle,PA,17013-2614,-77.16038333,40.19929276
CHEROKEE HEALTH SYSTEMS,1596 Highway 33 S,www.cherokeehealth.com,423-626-8271,,,New Tazewell,TN,37825-7104,-83.63414817,36.42480227
"Jane Pauley Community Health Center, Inc.",1 Burden Ct RM 16,www.janepauleychc.com,844-695-7242,mhackett@janepauleychc.org,,Alexandria,IN,46001-2632,-85.67855797,40.25205198
"Delta Health Center, Inc.",404 Jefferson St,,662-884-1250,,,Indianola,MS,38751-3265,-90.65030335,33.44218274
COMMUNITY ACTION COMMITTEE OF PIKE COUNTY,715 W Emmitt Ave,,740-947-8777,lbellomy@pikecac.org,,Waverly,OH,45690-1015,-82.99408576,39.119717
MEDLINK GEORGIA INC,896 Highway 441 S,www.medlinkga.org,706-782-5991,,,Clayton,GA,30525-5423,-83.40429052,34.86437198
MENDOCINO COMMUNITY HEALTH CLINIC INC,1165 S Dora St STE B2,,707-468-1010,,,Ukiah,CA,95482-6353,-123.209536,39.13593372
"Central Mississippi Civic Improvement Association, Inc.",3502 W Northside Dr,,601-364-5142,,,Jackson,MS,39213-4454,-90.23397097,32.35604752
International Community Health Services,1050 140th Ave NE,www.ichs.com,425-373-3000,doquyenh@ichs.com,,Bellevue,WA,98005-2972,-122.1536179,47.61962958
"La Clinica Del Valle Family Health Care Center, Inc.",1113 Progress Dr,www.laclinicahealth.org,541-535-6239,,,Medford,OR,97504-5201,-122.8726894,42.34508021
FLORIDA COMMUNITY HEALTH CENTER,2015 US Highway 441 N,,863-763-1951,dhonig@fchcinc.org,,Okeechobee,FL,34972-1901,-80.82995749,27.26280799
