Health Center Name,Address,Website,Phone Number,Email,,City,State,Zip,Latitude,Longitude
"COMMUNITY HEALTH CENTERS OF SOUTHERN IOWA, INC.","302 NE 14th St, 302 NE 14th St, Leon, IA 50144-1206",www.chcsi.org,,,,Leon,IA,50144-1206,40.750359,-93.743364
"JEWISH RENAISSANCE FOUNDATION INC., THE","149 Kearny Ave Ste 2, 149 Kearny Ave Ste 2, Perth Amboy, NJ 08861-4700",,,,,Perth Amboy,NJ,08861-4700,40.503151,-74.269243
Metropolitan Community Health,"328 N Market St, 328 N Market St, Washington, NC 27889-4934",www.agapechc.org,252-644-7002,mmcduffie@metrocommunityhealth.org,,Washington,NC,27889-4934,35.545429,-77.053078
"Goshen Medical Center, Inc.","444 SW Center St, 444 SW Center St, Faison, NC 28341-8820",,,,,Faison,NC,28341-8820,35.110256,-78.136034
"COMMUNITY HEALTH SYSTEMS, INC.","252 Rural Acres Dr, 252 Rural Acres Dr, Beckley, WV 25801-3503",http://www.accesshealthwv.com,,,,Beckley,WV,25801-3503,37.791361,-81.179033
HUDSON HEADWATERS HEALTH NETWORK,"9 Carey Rd, 9 Carey Rd, Queensbury, NY 12804-7880",www.hhhn.org,,,,Queensbury,NY,12804-7880,43.295766,-73.69022
Avenal Community Health Center,"555 E St, 555 E St, Lemoore, CA 93245-2617",,559-316-4192,jkalfayan@ariachc.org,,Lemoore,CA,93245-2617,36.302036,-119.789469
"Williamson Health & Wellness Center, Inc","184 E 2nd Ave Ste 210, 184 E 2nd Ave Ste 210, Williamson, WV 25661-3602",www.williamsonhealthwellness.com,,,,Williamson,WV,25661-3602,37.671657,-82.277258
"Dirne Health Centers, Inc.","2025 W Park Pl, 2025 W Park Pl, Coeur D Alene, ID 83814",,,,,Coeur D Alene,ID,83814,47.69555,-116.800149
"Family Health Network Of Central New York, Inc.","85 S West St, 85 S West St, Homer, NY 13077-1542",www.familyhealthnetwork.org,,,,Homer,NY,13077-1542,42.6495,-76.189667
Great Mines Health Center,"1 Southtowne Dr, 1 Southtowne Dr, Potosi, MO 63664-5729",,,,,Potosi,MO,63664-5729,37.98535,-90.820073
QUALITY OF LIFE HEALTH SERVICES INC,"1411 Piedmont Cutoff, 1411 Piedmont Cutoff, Gadsden, AL 35903-2708",www.qolhs.org,256-439-6306,amelia.wofford@qolhs.com,,Gadsden,AL,35903-2708,33.998253,-85.95214
East Central Missouri Behavioral Health Services Inc,"340 Kelley Pkwy, 340 Kelley Pkwy, Mexico, MO 65265-3811",,573-581-1196 x3012,ronlinda7@charter.net,,Mexico,MO,65265-3811,39.201449,-91.838271
"Near North Health Service Corporation, The","1276 N Clybourn Ave, 1276 N Clybourn Ave, Chicago, IL 60610-2089",www.nearnorth.org,,,,Chicago,IL,60610-2089,41.905185,-87.642498
Southcentral Foundation,"4501 Diplomacy Dr, 4501 Diplomacy Dr, Anchorage, AK 99508-5919",www.scf.cc,907-729-4955,akyle@southcentralfoundation.com,,Anchorage,AK,99508-5919,61.18215,-149.795982
"Greater Lawrence Family Health Center, Inc.","1 Griffin Brook Dr Ste 101, 1 Griffin Brook Dr Ste 101, Methuen, MA 01844-1865",www.glfhc.org,978-771-7675,thu.huynh-vien@glfhc.org,,Methuen,MA,01844-1865,42.691265,-71.22982
"Sixteenth Street Community Health Centers, Inc.","1032 S Cesar E Chavez Dr, 1032 S Cesar E Chavez Dr, Milwaukee, WI 53204-2203",https://sschc.org/locations/,262-225-6362,tracey.prentice@sschc.org,,Milwaukee,WI,53204-2203,43.020468,-87.932541
INDIANA HEALTH CENTERS INCORPORATED,"8003 Castleway Dr, 8003 Castleway Dr, Indianapolis, IN 46250-1946",,317-576-1335,cspringer@ihcinc.org,,Indianapolis,IN,46250-1946,39.902701,-86.054374
San Francisco Community Clinic Consortium,"2720 Taylor St Ste 430, 2720 Taylor St Ste 430, San Francisco, CA 94133-1231",,,,,San Francisco,CA,94133-1231,37.807599,-122.415321
"Central Virginia Health Services, Inc.","25892 N James Madison Hwy, 25892 N James Madison Hwy, New Canton, VA 23123-2234",www.cvhsinc.org,,,,New Canton,VA,23123-2234,37.636597,-78.359948
WellSpace Health,"1820 J St, 1820 J St, Sacramento, CA 95811-3010",,,,,Sacramento,CA,95811-3010,38.57719,-121.482393
MosaicMedical,"375 NW Beaver St Ste 101, 375 NW Beaver St Ste 101, Prineville, OR 97754-1802",mosaicmedical.org,,,,Prineville,OR,97754-1802,44.303447,-120.84911
"Centerville Clinics, Incorporated","1070 Old National Pike, 1070 Old National Pike, Fredericktown, PA 15333-2114",,,,,Fredericktown,PA,15333-2114,40.047323,-79.983631
Pancare of Florida Inc,"403 E 11th St, 403 E 11th St, Panama City, FL 32401-3409",www.pancarefl.org,850-872-4128,mhill@pancarefl.org,,Panama City,FL,32401-3409,30.168047,-85.655226
"Valley Health Systems, Inc.","3377 US Route 60, 3377 US Route 60, Huntington, WV 25705-2837",www.valleyhealth.org,,,,Huntington,WV,25705-2837,38.410562,-82.372656
Lake Superior Community Health Center,"4325 Grand Ave, 4325 Grand Ave, Duluth, MN 55807-2730",WWW.LSCHC.ORG,218-624-6586,sleuck@lschc.org,,Duluth,MN,55807-2730,46.748313,-92.156558
"Three Lower Counties Community Services, Inc.","32033 Beaver Run Dr, 32033 Beaver Run Dr, Salisbury, MD 21804-1773",http://delmarvapharmacy.com/,410-749-1015 x1608,jswanton@chesapeakehc.org,,Salisbury,MD,21804-1773,38.376355,-75.502024
"COMMUNITY MEDICAL CENTERS, INC.","7210 Murray Dr, 7210 Murray Dr, Stockton, CA 95210-3339",,209-373-2826,cnoguera@communitymedicalcenters.org,,Stockton,CA,95210-3339,38.015926,-121.300622
"SOUTHEAST MISSISSIPPI RURAL HEALTH INITIATIVE, INC.","5488 U S Highway 49, 5488 U S Highway 49, Hattiesburg, MS 39401-7806",,,,,Hattiesburg,MS,39401-7806,31.287094,-89.29853
"Umpqua Community Health Center, Inc.","150 NE Kenneth Ford Dr, 150 NE Kenneth Ford Dr, Roseburg, OR 97470-1042",,,,,Roseburg,OR,97470-1042,43.262052,-123.350341
"Unity Health Care, Inc.","1100 New Jersey Ave SE Ste 500, 1100 New Jersey Ave SE Ste 500, Washington, DC 20003-3326",,,,,Washington,DC,20003-3326,38.876959,-77.003945
WAYNE MEMORIAL COMMUNITY HEALTH CENTERS,"601 Park St, 601 Park St, Honesdale, PA 18431-1445",WMCHC.NET,,,,Honesdale,PA,18431-1445,41.576582,-75.260292
"219 Health Network, Inc.","100 W Chicago Ave Ste F, 100 W Chicago Ave Ste F, East Chicago, IN 46312-3261",https://219health.org/,219-703-2585,Patricia.A.Johnson@219Health.org,,East Chicago,IN,46312-3261,41.629987,-87.472276
"WHITNEY M. YOUNG, JR., HEALTH CENTER, INC.","920 Lark Dr, 920 Lark Dr, Albany, NY 12207-1300",,,,,Albany,NY,12207-1300,42.661955,-73.748061
"SANTA BARBARA, COUNTY OF","300 N San Antonio Rd, 300 N San Antonio Rd, Santa Barbara, CA 93110-1316",http://cosb.countyofsb.org/phd/primarycare.aspx?id=19192,805-681-5173,darrin.eisenbarth@sbcphd.org,,Santa Barbara,CA,93110-1316,34.922186,-120.428607
Mainline Health Systems Inc,"233 N Main St, 233 N Main St, Portland, AR 71663-9230",,,,,Portland,AR,71663-9230,33.239029,-91.51166
Chinatown Service Center,"767 N Hill St, 767 N Hill St, Los Angeles, CA 90012-2343",www.cscla.org,,,,Los Angeles,CA,90012-2343,34.06256,-118.23987
"Sunset Park Health Council, Inc.","150 55th St Ste 1, 150 55th St Ste 1, Brooklyn, NY 11220-2508",www.lmcmc.com,,,,Brooklyn,NY,11220-2508,40.646616,-74.020579
Comanche County Hospital Authority,"3401 W Gore Blvd, 3401 W Gore Blvd, Lawton, OK 73505-6332",,,,,Lawton,OK,73505-6332,34.609012,-98.434166
York County Community Action Corporation,"6 Spruce St, 6 Spruce St, Sanford, ME 04073-2917",,,,,Sanford,ME,04073-2917,43.442381,-70.77148
"COMMUNITY MEDICAL CENTERS, INC.","7210 Murray Dr, 7210 Murray Dr, Stockton, CA 95210-3339",,209-373-2826,cnoguera@communitymedicalcenters.org,,Stockton,CA,95210-3339,38.015926,-121.300622
GEORGIA HIGHLANDS MEDICAL SERVICE INC,"260 Elm St, 260 Elm St, Cumming, GA 30040-2467",www.ghms-inc.org,,,,Cumming,GA,30040-2467,34.213264,-84.137228
"ODA PRIMARY HEALTH CARE CENTER, INC.","14 Heyward St, 14 Heyward St, Brooklyn, NY 11249-7823",,,,,Brooklyn,NY,11249-7823,40.699804,-73.958806
"East Texas Community Health Services, Inc.","1401 S University Dr, 1401 S University Dr, Nacogdoches, TX 75961-6488",www.etchc.com,,,,Nacogdoches,TX,75961-6488,31.588236,-94.646657
North Side Christian Health Center,"816 Middle St, 816 Middle St, Pittsburgh, PA 15212-4915",www.nschc.org,,,,Pittsburgh,PA,15212-4915,40.455245,-79.999422
"Gracemed Health Clinic, Inc.","1150 N Broadway Ave, 1150 N Broadway Ave, Wichita, KS 67214-2805",www.gracemed.org,316-866-2000 x2095,jnkanata@gracemed.org,,Wichita,KS,67214-2805,37.704228,-97.334578
Access Community Health Network,"600 W Fulton St Ste 200, 600 W Fulton St Ste 200, Chicago, IL 60661-1262",www.accesscommunityhealth.net,,,,Chicago,IL,60661-1262,41.887159,-87.643246
"Clinicas De Salud Del Pueblo, Inc.","852 Danenberg Dr, 852 Danenberg Dr, El Centro, CA 92243-8517",,,,,El Centro,CA,92243-8517,32.767263,-115.562259
Oakland Integrated Healthcare Network,"461 W Huron St Ste 107, 461 W Huron St Ste 107, Pontiac, MI 48341-1601",www.oihn.org,810-241-1518,cduncanson@honorcommunityhealth.org,,Pontiac,MI,48341-1601,42.633482,-83.309355
Richland Medical Center Inc,"304 W Washington Ave, 304 W Washington Ave, Richland, MO 65556-7101",,,,,Richland,MO,65556-7101,37.859926,-92.412052
"Community Healthcare Network, Inc.","60 Madison Ave Fl, 60 Madison Ave Fl, New York, NY 10010-1600",,,,,New York,NY,10010-1600,40.743257,-73.986422
TIBURCIO VASQUEZ HEALTH CENTER INCORPORATED,"33255 9th St, 33255 9th St, Union City, CA 94587-2137",,510-460-3855 x3328,schwab.galindo@gmail.com,,Union City,CA,94587-2137,37.602614,-122.026421
"WAIANAE DISTRICT COMPREHENSIVE HEALTH AND HOSPITAL BOARD, INCORPORATED","86-260 Farrington Hwy, 86-260 Farrington Hwy, Waianae, HI 96792-3128",www.wcchc.com,,,,Waianae,HI,96792-3128,21.429908,-158.17915
"Northwest Michigan Health Services, Inc.","10767 E Traverse Hwy, 10767 E Traverse Hwy, Traverse City, MI 49684-6219",,,,,Traverse City,MI,49684-6219,44.776131,-85.646599
"Community Health Centers Of Southeastern Iowa, Inc","1706 W Agency Rd, 1706 W Agency Rd, West Burlington, IA 52655-1667",,,,,West Burlington,IA,52655-1667,40.812512,-91.175671
"Legacy Community Health Services, Inc.","1415 California St, 1415 California St, Houston, TX 77006-2602",https://legacycommunityhealth.org,832-548-5170,calexander@legacycommunityhealth.org,,Houston,TX,77006-2602,29.744983,-95.394107
"Community Of Hope, Inc.","4 Atlantic St SW, 4 Atlantic St SW, Washington, DC 20032-2350",,,,,Washington,DC,20032-2350,38.83119,-77.008721
El Centro Del Barrio,"3750 Commercial Ave, 3750 Commercial Ave, San Antonio, TX 78221-3117",www.centromedsa.com,,,,San Antonio,TX,78221-3117,29.335911,-98.515444
"Asian Pacific Health Care Venture, Inc.","4216 Fountain Ave, 4216 Fountain Ave, Los Angeles, CA 90029-2256",www.aphcv.org,,,,Los Angeles,CA,90029-2256,34.095658,-118.281352
"JESSIE TRICE COMMUNITY HEALTH SYSTEM, INC.","5607 NW 27th Ave Ste 1, 5607 NW 27th Ave Ste 1, Miami, FL 33142-2826",www.jtchs.org,305-805-1700,jjlawrence@jtchc.org,,Miami,FL,33142-2826,25.826085,-80.240461
COMMUNITY HEALTH CENTER OF CENTRAL MISSOURI,"1016 E Main St, 1016 E Main St, Linn, MO 65051-9782",,,,,Linn,MO,65051-9782,38.479514,-91.842388
"Maine Mobile Health Program, Inc","9 Green St Ste 1, 9 Green St Ste 1, Augusta, ME 04330-7451",www.mainemigrant.org,,,,Augusta,ME,04330-7451,44.312814,-69.776441
"SHERIDAN, COUNTY OF","826 18th St, 826 18th St, Hoxie, KS 67740-4371",,785-677-4117,rbird@schcmed.com,,Hoxie,KS,67740-4371,39.354465,-100.43233
"Servicios De Salud Primarios De Barceloneta, Inc.","2-57 Bo Cruce Davila # 8, 2-57 Bo Cruce Davila # 8, Barceloneta, PR 00617-3217",atlanticmedical.org,,,,Barceloneta,PR,00617-3217,18.447092,-66.544255
NEIGHBORHOOD HEALTH CENTERS OF LEHIGH VALLEY,"218 N 2nd St, 218 N 2nd St, Allentown, PA 18102-3508",www.nhclv.org,610-820-7605,jsmoyer@nhclv.com,,Allentown,PA,18102-3508,40.608702,-75.461781
"PREFERRED FAMILY HEALTHCARE, INCORPORATED","900 E Laharpe St, 900 E Laharpe St, Kirksville, MO 63501-4520",,,,,Kirksville,MO,63501-4520,40.179261,-92.582842
"CUMBERLAND FAMILY MEDICAL CENTER, INC.","360 Keen St Ste 500, 360 Keen St Ste 500, Burkesville, KY 42717-7944",,270-858-6655,tantle@cfmcky.com,,Burkesville,KY,42717-7944,36.769106,-85.408741
Southeast Community Health Systems,"6351 Main St, 6351 Main St, Zachary, LA 70791-4038",,225-306-2014,thwright@shchc.org,,Zachary,LA,70791-4038,30.650868,-91.137481
San Francisco Community Clinic Consortium,"2720 Taylor St Ste 430, 2720 Taylor St Ste 430, San Francisco, CA 94133-1231",,,,,San Francisco,CA,94133-1231,37.807599,-122.415321
Cares Community Health,"1500 21st St, 1500 21st St, Sacramento, CA 95811-5216",,,,,Sacramento,CA,95811-5216,38.570666,-121.481781
Circle the City,"300 W Clarendon Ave Ste 200, 300 W Clarendon Ave Ste 200, Phoenix, AZ 85013-3422",www.circlethecity.org,480-562-6730,astewart@circlethecity.org,,Phoenix,AZ,85013-3422,33.491725,-112.078577
DENVER HEALTH AND HOSPITALS AUTHORITY,"777 Bannock St, 777 Bannock St, Denver, CO 80204-4507",www.denverhealth.org,303-602-6429,patricia.braun@dhha.org,,Denver,CO,80204-4507,39.728285,-104.990525
"Hudson River Healthcare, Inc.","1037 Main St, 1037 Main St, Peekskill, NY 10566-2913",,914-924-4923,lreid@hrhcare.org,,Peekskill,NY,10566-2913,41.291472,-73.918324
"Centerville Clinics, Incorporated","1070 Old National Pike, 1070 Old National Pike, Fredericktown, PA 15333-2114",,,,,Fredericktown,PA,15333-2114,40.047323,-79.983631
"FAMILY HEALTH CARE CLINIC, INC.","4635 Highway 80 E, 4635 Highway 80 E, Pearl, MS 39208-4226",www.familyhealthcareclinic.com,,,,Pearl,MS,39208-4226,32.283164,-90.063199
"LA CLINICA DE LA RAZA, INC.","1515 Fruitvale Ave, 1515 Fruitvale Ave, Oakland, CA 94601-2322",,510-535-2915,paguilera@laclinica.org,,Oakland,CA,94601-2322,37.779206,-122.225406
"Lakeshore Community Health Care, Inc","1721 Saemann Ave, 1721 Saemann Ave, Sheboygan, WI 53081-2342",,,,,Sheboygan,WI,53081-2342,43.764183,-87.728937
"Isabella Citizens for Health, Inc.","2790 Health Pkwy, 2790 Health Pkwy, Mount Pleasant, MI 48858-6934",,989-953-5191 x4,rachel.blizzard@isabellahealth.org,,Mount Pleasant,MI,48858-6934,43.636855,-84.807511
"YAVAPAI, COUNTY OF","1090 Commerce Dr, 1090 Commerce Dr, Prescott, AZ 86305-3700",www.yavapaihealth.com,928-442-5911,willa.miller@yavapai.us,,Prescott,AZ,86305-3700,34.608295,-112.46117
Mobile County Board of Health,"251 N Bayou St, 251 N Bayou St, Mobile, AL 36603-5827",familyhealthalabama.org,,,,Mobile,AL,36603-5827,30.69184,-88.054644
Canyonlands Community Health Care,"827 Vista Ave, 827 Vista Ave, Page, AZ 86040-7501",www.canyonlandschc.org,,,,Page,AZ,86040-7501,36.921556,-111.461045
HOPE FAMILY CARE CENTER,"3027 PROSPECT AVE, 3027 PROSPECT AVE, KANSAS CITY, MO 64128-1530",,816-888-5632,jeremyk@hfcckc.org,,KANSAS CITY,MO,64128-1530,39.070626,-94.552451
FAIRFIELD COMMUNITY HEALTH CENTER,"1155 E Main St, 1155 E Main St, Lancaster, OH 43130-4056",www.fairfieldchc.org,,,,Lancaster,OH,43130-4056,39.714428,-82.579469
"St. Francis House NWA, Inc.","614 E Emma Ave Ste 300, 614 E Emma Ave Ste 300, Springdale, AR 72764-4469",,,,,Springdale,AR,72764-4469,36.185396,-94.122907
"Eastern Shore Rural Health System, Incorporated","20280 Market St, 20280 Market St, Onancock, VA 23417-1331",esrh.org,757-414-0400 x1110,tturman@esrh.org,,Onancock,VA,23417-1331,37.703783,-75.726397
"Multnomah, County of","501 SE Hawthorne Blvd Ste 531, 501 SE Hawthorne Blvd Ste 531, Portland, OR 97214-3587",//multco.us,,,,Portland,OR,97214-3587,45.512598,-122.660625
HEALTHY CONNECTIONS INC,"136 Health Park Dr, 136 Health Park Dr, Mena, AR 71953-9072",,,,,Mena,AR,71953-9072,34.592983,-94.208526
Virginia Garcia Memorial Health Center,"3305 NE Aloclek Dr, 3305 NE Aloclek Dr, Hillsboro, OR 97124-7143",www.virginiagarcia.org,909-496-4358,lbozzetti@vgmhc.org,,Hillsboro,OR,97124-7143,45.543998,-122.891744
"United Community And Family Services, Inc.","34 E Town St, 34 E Town St, Norwich, CT 06360-2317",www.ucfs.org,860-822-4143,jgranger@ucfs.org,,Norwich,CT,06360-2317,41.550393,-72.091289
"Baptist Community Health Services, Inc.","4960 Saint Claude Ave, 4960 Saint Claude Ave, New Orleans, LA 70117-4258",www.bchsnola.org,,,,New Orleans,LA,70117-4258,29.962579,-90.023062
Clinica Sierra Vista,"1430 Truxtun Ave Ste 400, 1430 Truxtun Ave Ste 400, Bakersfield, CA 93301-5220",www.clinicasierravista.org,661-635-3050 x2153,stacy.ferreira@clinicasierravista.org,,Bakersfield,CA,93301-5220,35.37365,-119.017971
"CINCINNATI, CITY OF","3101 Burnet Ave, 3101 Burnet Ave, Cincinnati, OH 45229-3014",NA,513-357-7360,jeremy.gray@cincinnati-oh.gov,,Cincinnati,OH,45229-3014,39.135255,-84.501155
Western Wayne Family Health Centers,"2700 Hamlin Blvd, 2700 Hamlin Blvd, Inkster, MI 48141-2206",wwfhc.org,,,,Inkster,MI,48141-2206,42.291158,-83.311414
"G.A. CARMICHAEL FAMILY HEALTH CENTER, INC.","1668 W Peace St, 1668 W Peace St, Canton, MS 39046-5332",www.gacfhc.org,601-859-5213 x1021,jknox@gacfhc.org,,Canton,MS,39046-5332,32.602254,-90.077128
"COMMUNITY HEALTH CENTER, INCORPORATED","635 MN ST, 635 MN ST, Middletown, CT 06457",www.chc1.com,860-347-6602,mark@chc1.com,,Middletown,CT,6457,41.564516,-72.652628
"NORTHWEST HUMAN SERVICES, INC.","681 Center St NE, 681 Center St NE, Salem, OR 97301-3722",www.northwesthumanservices.org,,,,Salem,OR,97301-3722,44.942389,-123.032458
"OPEN DOOR FAMILY MEDICAL CENTER, INC.","165 Main St, 165 Main St, Ossining, NY 10562-4702",,914-502-1490,dwu@odfmc.org,,Ossining,NY,10562-4702,41.161455,-73.862482
Lorain County Health & Dentistry,"1205 Broadway, 1205 Broadway, Lorain, OH 44052-3409",www.lorainhealth-dentistry.org,,,,Lorain,OH,44052-3409,41.460532,-82.170124
"COLORADO COALITION FOR THE HOMELESS, THE","2111 Champa St, 2111 Champa St, Denver, CO 80205-2529",www.coloradocoalition.org,,,,Denver,CO,80205-2529,39.751621,-104.98783
COMMUNITY HEALTH ASSOCIATION OF SPOKANE,"611 N Iron Bridge Way, 611 N Iron Bridge Way, Spokane, WA 99202-4932",https://chas.org/,,,,Spokane,WA,99202-4932,47.66226,-117.390831
"Tampa Family Health Centers, Inc.","302 W Fletcher Ave, 302 W Fletcher Ave, Tampa, FL 33612-3415",,813-395-3810,lmccloud@hcnetwork.org,,Tampa,FL,33612-3415,28.068327,-82.461802
"Citrus Health Network, Inc.","4175 W 20th Ave, 4175 W 20th Ave, Hialeah, FL 33012-5874",unkn,,,,Hialeah,FL,33012-5874,25.859735,-80.321642
St. James Health and Wellness Inc.,"1189 Tibwin Rd, 1189 Tibwin Rd, Mc Clellanville, SC 29458-9405",NA,843-887-3274 x106,kkeller@stjamessanteefhc.com,,Mc Clellanville,SC,29458-9405,33.082106,-79.511441
"CASCADIA BEHAVIORAL HEALTHCARE, INC.","847 NE 19TH AVE STE 100, 847 NE 19TH AVE STE 100, PORTLAND, OR 97232-2684",https://www.cascadiabhc.org/,503-238-0769,derald.walker@cascadiabhc.org,,PORTLAND,OR,97232-2684,45.529,-122.64739
Eau Claire Cooperative Health Center,"1228 Harden St Fl 2, 1228 Harden St Fl 2, Columbia, SC 29204-1800",www.ecchc.org,,,,Columbia,SC,29204-1800,34.006927,-81.019317
"HealthPoint Family Care, Inc.","215 E 11th St, 215 E 11th St, Newport, KY 41071-2203",www.healthpointfc.org,,,,Newport,KY,41071-2203,39.086886,-84.486454
"OPTIMUS HEALTH CARE, INC.","982 E Main St, 982 E Main St, Bridgeport, CT 06608-1913",,203-520-9865,amcgoldrick@opthc.org,,Bridgeport,CT,06608-1913,41.188055,-73.180568
"EL RIO SANTA CRUZ NEIGHBORHOOD HEALTH CENTER, INC.","839 W Congress St, 839 W Congress St, Tucson, AZ 85745-2819",,520-309-3909,daniellep@elrio.org,,Tucson,AZ,85745-2819,32.220627,-110.985846
Neighborhood Health Center,"7320 SW Hunziker Rd Ste 300, 7320 SW Hunziker Rd Ste 300, Portland, OR 97223-2302",www.nhcoregon.org,,,,Portland,OR,97223-2302,45.425576,-122.753477
"Goshen Medical Center, Inc.","444 SW Center St, 444 SW Center St, Faison, NC 28341-8820",www.goshenmedical.org,,,,Faison,NC,28341-8820,35.110256,-78.136034
"OPTIMUS HEALTH CARE, INC.","982 E Main St, 982 E Main St, Bridgeport, CT 06608-1913",,203-520-9865,amcgoldrick@opthc.org,,Bridgeport,CT,06608-1913,41.188055,-73.180568
"CUMBERLAND FAMILY MEDICAL CENTER, INC.","360 Keen St Ste 500, 360 Keen St Ste 500, Burkesville, KY 42717-7944",,270-858-6655,tantle@cfmcky.com,,Burkesville,KY,42717-7944,36.769106,-85.408741
"Boston Health Care For The Homeless Program, Inc., The","780 Albany St, 780 Albany St, Boston, MA 02118-2755",,,,,Boston,MA,02118-2755,42.333647,-71.072802
East Texas Border Health Clinic,"1500 W Grand Ave, 1500 W Grand Ave, Marshall, TX 75670-3005",,,,,Marshall,TX,75670-3005,32.548525,-94.380977
Camarena Health,"344 E 6th St, 344 E 6th St, Madera, CA 93638-3631",www.camarenahealth.org,510-333-2617,nancynetherland@gmail.com,,Madera,CA,93638-3631,36.962484,-120.055333
Lone Star Circle Of Care,"205 E University Ave Ste 200, 205 E University Ave Ste 200, Georgetown, TX 78626-6821",www.lonestarcares.org,,,,Georgetown,TX,78626-6821,30.633712,-97.675516
Sea-Mar Community Health Center,"1040 S Henderson St, 1040 S Henderson St, Seattle, WA 98108-4720",,206-763-5277,dustingreer@seamarchc.org,,Seattle,WA,98108-4720,47.523968,-122.318663
Hidalgo Medical Services,"530 De Moss St, 530 De Moss St, Lordsburg, NM 88045-2617",,575-597-2481 x2481,afrost@hmsnm.org,,Lordsburg,NM,88045-2617,32.339234,-108.708786
United Medical Centers,"2525 N Veterans Blvd, 2525 N Veterans Blvd, Eagle Pass, TX 78852-3302",www.umchealth.com,,,,Eagle Pass,TX,78852-3302,28.730067,-100.478842
"Family Health Services Of Darke County, Inc.","5735 Meeker Rd, 5735 Meeker Rd, Greenville, OH 45331-1180",www.buildinghealthylives.org,937-548-3806 x256,awoodall@familyhealth.cc,,Greenville,OH,45331-1180,40.084109,-84.627396
"South Central Primary Care Center, Inc.","204 E 4th St, 204 E 4th St, Ocilla, GA 31774-1539",,,,,Ocilla,GA,31774-1539,31.594539,-83.249097
"Rural Alliance for Better Family Health, The","1137 Independence Dr, 1137 Independence Dr, West Plains, MO 65775-4221",www.smchc.org,417-255-8464 x1403,adcock@smchc.org,,West Plains,MO,65775-4221,36.745036,-91.871884
"Hamilton Health Center, Inc.","110 S 17th St, 110 S 17th St, Harrisburg, PA 17104-1123",,,,,Harrisburg,PA,17104-1123,40.265049,-76.865013
Tri-County Community Action Agency,"1126 Hartford Ave, 1126 Hartford Ave, Johnston, RI 02919-7109",www.tricountyri.org,,,,Johnston,RI,02919-7109,41.822077,-71.486144
"COMMUNITY HEALTH CENTER, INCORPORATED","635 MN ST, 635 MN ST, Middletown, CT 06457",,860-347-6602,mark@chc1.com,,Middletown,CT,6457,41.564516,-72.652628
"Community Care of West Virginia, Inc.","37 W Main St, 37 W Main St, Buckhannon, WV 26201-2235",www.ccwv.org,,,,Buckhannon,WV,26201-2235,38.993939,-80.231551
"Mosaic Health, Inc.","1 S Washington St Ste 300, 1 S Washington St Ste 300, Rochester, NY 14614-1134",,,,,Rochester,NY,14614-1134,43.154521,-77.617091
"Compassion Health Care, Inc.","439 US Highway 158 W, 439 US Highway 158 W, Yanceyville, NC 27379-8304",www.caswellmedical.org,,,,Yanceyville,NC,27379-8304,36.416719,-79.358099
"Chiricahua Community Health Centers, Inc.","10566 N Highway 191, 10566 N Highway 191, Elfrida, AZ 85610-9021",www.cchci.org,,,,Elfrida,AZ,85610-9021,31.697083,-109.687533
"CHOPTANK COMMUNITY HEALTH SYSTEM, INC.","301 Randolph St, 301 Randolph St, Denton, MD 21629-1243",www.choptankhealth.org,,,,Denton,MD,21629-1243,38.884608,-75.831969
Great Mines Health Center,"1 Southtowne Dr, 1 Southtowne Dr, Potosi, MO 63664-5729",,,,,Potosi,MO,63664-5729,37.98535,-90.820073
Hope Christian Health Center Corp,"4357 Corporate Center Dr Ste 450, 4357 Corporate Center Dr Ste 450, North Las Vegas, NV 89030-0226",,,,,North Las Vegas,NV,89030-0226,36.236878,-115.100337
"ADVOCATES FOR A HEALTHY COMMUNITY, INC.","618 N Benton Ave Ste 100, 618 N Benton Ave Ste 100, Springfield, MO 65806-1102",www.jordanvalley.org,,,,Springfield,MO,65806-1102,37.214554,-93.287114
Community Health Centers of Greater Dayton,"1323 W 3rd St, 1323 W 3rd St, Dayton, OH 45402-6714",www.communityhealthdayton.org,,,,Dayton,OH,45402-6714,39.755972,-84.217249
Omni Family Health,"4900 California Ave Ste 400B, 4900 California Ave Ste 400B, Bakersfield, CA 93309-7081",www.OmniFamilyHealth.org,,,,Bakersfield,CA,93309-7081,35.365315,-119.056306
"Rainelle Medical Center, Inc.","176 Medical Center Dr, 176 Medical Center Dr, Rainelle, WV 25962-1064",,,,,Rainelle,WV,25962-1064,37.968546,-80.778647
Interior Community Health Center Inc,"1606 23rd Ave, 1606 23rd Ave, Fairbanks, AK 99701-6407",www.myhealthclinic.org,907-458-1558,cheryl.kilgore@inhc.org,,Fairbanks,AK,99701-6407,64.826332,-147.741942
"ALIVIO MEDICAL CENTER, INC","966 W 21st St, 966 W 21st St, Chicago, IL 60608-4511",,,,,Chicago,IL,60608-4511,41.8542,-87.650642
"Harbor Health Services, Inc.","1135 Morton St, 1135 Morton St, Mattapan, MA 02126-2834",www.hhsi.us,,,,Mattapan,MA,02126-2834,42.27577,-71.07489
FLOATING HOSPITAL INCORPORATED (THE),"4140 27th St, 4140 27th St, Long Island City, NY 11101-3825",,718-784-2240,emoneti@thefloatinghospital.org,,Long Island City,NY,11101-3825,40.750817,-73.939405
RITTER CENTER,"16 Ritter St, 16 Ritter St, San Rafael, CA 94901-3323",www.rittercenter.org,,,,San Rafael,CA,94901-3323,37.971388,-122.525228
